rule_id,entity_id,form_id,entity_class_id,entity_scope,compound_class,component_type,component_name,formula,exact_mass,role,reaction_logic,delta_mass_to_product,decarboxy_delta_mass,evidence_ids,review_status,review_note
bio_e2fb1a69128143,entity_5cf1a118465d43,,,specific_entity,betalain,structural_component,"5,6-dihydroxy-indole",,,structural_component,"5,6-dihydroxy-indole is identified as a structural component in the fragmentation.",,,claim_c6e2ad935bc532d1;chunk_3f8d7b09f89f7468a9e4;chunk_dfc4abb3cf2518ed25d2,candidate,"5,6-dihydroxy-indole is identified as a structural component in the fragmentation."
bio_86bc3e09b9e6ac,entity_e77b27ac31eb67,,,specific_entity,betalain,structural_component,glycosylated cyclo-DOPA,,,structural_component,Glycosylated cyclo-DOPA is a structural component that condenses with betalamic acid to form betacyanins.,,,claim_f7b6f376e5536e7f,candidate,Glycosylated cyclo-DOPA is a structural component that condenses with betalamic acid to form betacyanins.
bio_2204c68df9b716,entity_4e5d97c9a7edc6,,,specific_entity,betalain,structural_component,amino acids,,,structural_component,Amino acids are structural components that condense with betalamic acid to form betaxanthins.,,,claim_22ebde370436577b,candidate,Amino acids are structural components that condense with betalamic acid to form betaxanthins.
bio_38585075eb3f84,entity_646fc3eb22d264,,,specific_entity,betalain,structural_component,carboxyl group,,,structural_component,The window mentions a carboxyl group at C-15 as part of the betanin structure.,,,claim_534d8b98c46bf0ed,candidate,The window mentions a carboxyl group at C-15 as part of the betanin structure.
bio_416262ebb442a9,entity_5cf1a118465d43,,,specific_entity,betalain,entity_component_membership,"5,6-dihydroxy-indole",,,reported_component,"18-chloro-17-decarboxy-betanin contains or is formed with 5,6-dihydroxy-indole",,,claim_020620e19c0b85ee;claim_fc661cec46b6b19c,candidate,"18-chloro-17-decarboxy-betanin contains 5,6-dihydroxy-indole as a structural component."
bio_c8ed03402df542,entity_09ec2bfc204f12,,,specific_entity,betalain,entity_component_membership,pyridine ring,,,reported_component,18-chloro-17-decarboxy-betanin contains or is formed with pyridine ring,,,claim_c555fecf24496f28,candidate,18-chloro-17-decarboxy-betanin contains a pyridine-based moiety.
bio_9d185fe7035374,entity_59b04fb58cbaa5,,,specific_entity,betalain,entity_component_membership,glucoside,,,reported_component,18-chloro-17-decarboxy-betanin contains or is formed with glucoside,,,claim_b3b5f431792da925;claim_03ee11d7ed45ec0f;claim_e692deb6a87f13fc;claim_e46f2d53ddbaf857,candidate,18-chloro-17-decarboxy-betanin contains a glucoside moiety.
bio_3cfab4bd60e67b,entity_646fc3eb22d264,,,specific_entity,betalain,entity_component_membership,carboxyl group,,,reported_component,betanin 1 contains or is formed with carboxyl group,,,claim_7c1fcd7837df23dd;claim_c087fcaa136c6ea0,candidate,The carboxyl group is a structural component of betanin at position C-15.
bio_c70a7552768a43,entity_fd2084cfb18f2b,,,specific_entity,betalain,entity_component_membership,chlorine atom,,,reported_component,monochloro-17-decarboxy-betanin 2a contains or is formed with chlorine atom,,,claim_832ababb931e33fe,candidate,"In 18-chloro-17-decarboxy-betanin 2a, a chlorine atom is substituted at C-18."
bio_e36f85f83408a6,entity_ba0b0e80fbeaf9,,,specific_entity,betalain,entity_component_membership,carboxyl group at C-17,,,reported_component,betanin contains or is formed with carboxyl group at C-17,,,claim_0dd1fa9740f5d288,candidate,"The text implies that betanin has a carboxyl group at C-17, which is lost in 17-decarboxy-betanin."
