rule_id,entity_id,entity_origin,target_origin,compound_name,synonyms,compound_class,subclass,formula,exact_mass,ion_mode,adduct,reported_precursor_mz,reported_fragments,reported_neutral_losses,literature_status,derivation_id,evidence_ids,review_status,review_note
cmp_12822fcd1f86c3,entity_12822fcd1f86c3ce,reported,reported,Betanin,,betalain,,C24H26N2O13,550.14348890125,positive,[M+H]+,551.1508,"[389.09, 345.1, 343.09, 299.1, 297.08, 281.09, 269.09, 255.11, 253.09, 194.04, 166.05, 178.05, 176.07, 166.05, 150.05, 138.05, 132.04, 106.6];[];253.09;194.04;166.05;178.05;176.07;150.05;138.05;132.04;106.6;389.09;345.1;343.09;299.1;297.08;281.09;269.09;255.11;522.15;521.14;519.16;518.15;517.15;516.14;515.13;514.12;513.11;511.16;509.14;508.13;507.16;506.15;505.15;504.14;503.13;501.15;500.14;499.13;498.13;497.12;495.1;493.15;491.17;490.16;489.15;488.14;487.13;486.13;485.12;483.14;481.15;479.13;478.12;477.15;476.14;475.13;473.16;472.15;471.14;470.13;469.12;465.15;463.13;462.13;461.12;460.11;459.14;458.13;457.12;447.14;445.12;443.11;429.13;427.11;425.1;419.11;417.09;389.1;388.09;387.08;386.07;382.11;375.12;373.1;372.1;371.09;370.08;369.07;368.1;366.12;364.1;361.1;360.1;359.12;358.11;357.11;356.1;355.09;354.08;353.08;352.1;351.06;349.1;347.09;345.11;344.1;343.13;342.09;341.09;340.1;339.1;338.09;337.08;335.09;331.09;330.12;329.11;328.1;327.1;326.09;325.09;324.08;323.08;322.09;320.08;319.09;317.08;316.07;315.1;314.09;313.09;312.11;311.1;310.09;307.08;306.07;303.1;301.08;300.07;299.07;298.06;297.1;296.09;294.1;288.11;287.1;286.09;285.1;284.08;283.07;282.06;281.08;280.07;279.09;273.1;271.08;270.07;268.09;267.06;265.08;264.07;263.07;262.06;255.09;254.08;253.08;252.06;251.07;250.08;249.05;247.07;245.06;237.09;235.07;233.06;231.04;223.07;222.06;220.06;211.07;209.06;208.05;207.08;205.06;196.06;195.05;193.04;192.03;191.05;182.08;181.05;180.04;179.03;177.04;176.03;167.07;166.09;165.05;164.05;163.04;147.04;146.04;145.05;135.04;134.04;130.04;124.04;123.04;119.05;111.04;110.06;109.03;108.02;107.05;106.04",,reported,,claim_10c59f13dac73dbc;claim_80f572ddf539ca4b;chunk_f82a0901b6c23600badc;chunk_5057b9cf26c3cd7dd9c5;chunk_7211ddd1008a82f5deaf;chunk_98b5fb693a18377a06b1;chunk_185a54d9c1554c086b1f;chunk_b2f5215d26a079ab47fc;chunk_a39f52376cd9c963f1ba,candidate,"Betanin is listed as compound #3 with retention time 3.43, relative Rt 1, chemical formula C24H26N2O13, theoretical m/z 551.1508, observed m/z 551.1483, mass accuracy -4.54 ppm, and fragments 389.09, 345.10, 343.09, 299.10, 297.08, 281.09, 269.09, 255.11, 253.09, 194.04, 166.05, 178.05, 176.07, 166.05, 150.05, 138.05, 132.04, 106.6."
cmp_1cffd0c2c566ec,entity_1cffd0c2c566ecac,reported,reported,18-chloro-17-decarboxy-betanin,,betalain,,,,positive,,,"[379, 343, 333, 299, 297, 255, 253, 150]",,reported,,claim_0c548a0c243d4f7b;claim_53381148a2fac105,candidate,The compound 18-chloro-17-decarboxy-betanin (2a) is mentioned with its fragmentation pattern.
cmp_52721104398e4d,entity_52721104398e4d3a,reported,reported,18-chloro-betanin,,betalain,,,,positive,[M+H]+,,"[423, 387, 377, 341, 331, 287, 251, 150, 295, 297, 253]",,reported,,claim_c76754e64c518f4b,candidate,Compound 18-chloro-betanin is identified in the text.
cmp_c63ef914c38130,entity_c63ef914c38130fd,reported,reported,"18-chloro-2,17-bidecarboxy-betanin",,betalain,,,,,,,"[335, 299, 289, 255, 253, 150]",,reported,,claim_fc17aa479c8bd6dc;claim_147779b3fef98e76;claim_692ab7e47921bbb1,candidate,"Compound 18-chloro-2,17-bidecarboxy-betanin is listed in Table 3."
cmp_dc93e29b365096,entity_dc93e29b3650969f,reported,reported,betanidin,,betalain,,C18H16N2O8,388.0906654811,positive,[M+H]+,389.0979,[];253.09;194.04;166.05;178.05;176.07;150.05;138.05;132.04;106.6;343.09;299.1;297.08;281.09;269.09;255.08;361.1;360.1;359.09;358.08;357.11;356.1;355.09;354.08;353.08;352.07;351.06;349.1;347.09;346.08;345.11;344.1;342.08;341.08;340.08;339.1;338.09;337.08;336.07;335.09;333.11;331.09;330.08;329.11;328.11;327.1;326.09;325.08;324.07;323.07;319.09;318.1;317.08;316.07;315.1;314.09;313.08;312.07;311.1;310.09;309.09;308.08;307.07;305.11;304.08;303.1;302.1;301.08;300.07;299.07;298.09;297.06;296.08;291.1;288.09;287.1;286.09;285.09;284.12;283.07;282.1;280.07;279.06;275.1;274.09;273.09;272.08;271.07;270.08;267.06;266.05;265.08;264.07;263.07;262.06;260.09;259.08;258.08;257.09;256.1;254.08;253.08;252.07;251.07;250.06;249.09;248.04;247.07;246.08;245.06;244.06;242.08;240.07;235.07;234.08;233.06;232.06;230.08;228.07;223.07;222.06;220.06;218.08;216.07;211.07;209.06;208.05;207.05;206.04;205.06;204.07;202.05;196.06;195.05;193.04;192.05;191.05;190.05;182.04;181.05;180.04;179.03;177.04;176.03;174.05;169.04;168.07;167.08;165.05;164.05;163.04;162.03;152.07;151.04;149.05;148.04;147.04;146.04;144.03;142.01;137.02;136.04;135.04;134.04;126.05;124.04;123.04;119.05;118.04;114.02;111.04;110.02;109.03;108.02;107.05;106.04;100.04;255.11,,reported,,claim_b3409821677c4f10;chunk_604c7281d5352cd71b73;chunk_2d9dd1faec7e052d9650;chunk_8172f7e7f178901209b2,candidate,Betanidin is listed as a compound in Table 1.
cmp_1ad3c6cd6014c7,entity_1ad3c6cd6014c707,reported,reported,neobetanin,,betalain,,C24H24N2O13,548.12783883679,positive,[M+H]+,549.1351,[];255.08;253.09;194.04;178.05;176.07;166.05;150.05;132.04;343.09;299.1;297.08;281.09;269.09;520.13;519.12;517.15;516.14;515.13;514.12;513.11;512.11;511.1;509.14;507.12;506.12;505.15;504.14;503.13;502.12;501.11;497.12;496.11;495.1;493.09;491.13;490.12;489.11;488.14;487.13;486.13;485.12;484.11;483.1;479.13;477.11;476.11;474.13;473.12;471.14;469.12;468.12;467.11;461.12;460.11;459.1;458.1;456.12;455.11;451.11;443.11;441.09;433.12;425.1;423.08;417.09;415.08;387.08;386.07;385.07;384.06;373.1;371.09;370.08;369.07;368.06;367.06;359.09;358.08;357.11;356.1;355.09;354.08;353.08;352.07;351.09;350.09;347.09;345.07;342.09;341.09;340.07;339.1;338.09;337.08;336.07;334.09;333.07;329.08;327.1;326.09;325.09;324.08;323.08;322.09;321.08;320.08;319.07;317.08;315.06;314.05;313.08;312.11;311.1;310.09;308.09;307.08;306.07;302.07;301.08;299.07;298.06;297.1;296.09;294.1;293.09;285.1;283.07;282.06;280.09;279.06;278.05;277.05;276.09;273.1;271.08;270.07;268.09;267.09;265.05;264.04;263.07;262.06;261.05;255.09;254.08;253.07;252.06;251.07;250.08;249.05;247.03;237.08;235.07;233.06;231.04;221.06;209.06;207.05;206.03;193.04;192.03;191.06;190.05;181.05;180.04;179.03;177.04;176.03;167.07;165.05;164.05;163.04;162.05;149.05;148.04;147.04;146.04;145.05;136.08;135.04;134.04;130.04;123.04;119.05;111.04;109.03;108.02;107.05;106.04;106.06,,reported,,claim_9d845747eed627e1;chunk_f0a2d0db1aad93dc174a;chunk_ad5844dad00adf5d2084;chunk_9403b9ee5700fe0ec3bb;chunk_6d17a155e997faa0c330,candidate,Neobetanin is listed as a compound in Table 1.
cmp_8d69a655ba3c9a,entity_8d69a655ba3c9a7e,reported,reported,2-O-Glucosyl-betanin,,betalain,,,,,,,[],,reported,,claim_b5a08ed54d749441,candidate,2-O-Glucosyl-betanin is listed as a compound in Table 1.
cmp_7486d541e979f1,entity_7486d541e979f1d3,reported,reported,18-chloro-2-decarboxy-betanin,,betalain,,,,positive,,,"[379, 343, 333, 297, 253, 150, 132]",,reported,,claim_18405b4c2a674eff,candidate,Compound 4a is identified as 18-chloro-2-decarboxy-betanin.
cmp_2161f2c12be6c7,entity_2161f2c12be6c7e3,reported,reported,monochloro-betanin 1a,,betalain,,,,,,,,,reported,,claim_b1ce262145437447,candidate,The window refers to monochloro-betanin 1a as a chlorinated derivative of betanin.
cmp_f5f280c1f41c4d,entity_f5f280c1f41c4d25,reported,reported,monochloro-17-decarboxy-betanin 2a,,betalain,,,,,,,,,reported,,claim_172a1512021bc9f1,candidate,The window mentions monochloro-17-decarboxy-betanin 2a as a chlorinated derivative.
