rule_id,compound_class,subclass,loss_name,loss_mass,ion_mode,interpretation,required_context,evidence_ids,review_status,review_note
loss_227d044fa6c6c8,betalain,,glucosyl,162,positive,,,claim_df40773bd5bdc0ef;claim_9f882c87f624b507;claim_229b9c918bb591c2;claim_ab79acfe47cd04dc,candidate,Neutral loss of glucosyl (162 Da) from 18-chloro-17-decarboxy-betanin (m/z 541) yields ion at m/z 379.
loss_526dff68b856b2,betalain,,HCl,36,positive,,,claim_aad002cf906fbc2d;claim_b7608808c32ab64e;claim_e0143c82eb4fd618;claim_2fa6b6447a30ab71;claim_8470135b01aa6c84;claim_7b11879a35a786e7,candidate,Neutral loss of HCl (36 Da) from ion at m/z 379 yields ion at m/z 343.
loss_f2454c19d89128,betalain,,HCOOH,46,positive,,,claim_7bde4b7d532c0145;claim_220960338c623f10;claim_16803ad2210360af;claim_be848dbfbb155c36;claim_abded73217512f6d;claim_0de6d4868a90e705;claim_09b910d821d63f32;claim_03105a76e3cd7ee1,candidate,Neutral loss of HCOOH (46 Da) from ion at m/z 379 yields ion at m/z 333.
loss_e039efc7f2df46,betalain,,CO2,44,positive,CO2 loss,,claim_06dd51d4a4c8a2e5;claim_5d247b7ddf1ee82b;claim_bfcc3e15bf5804b8;claim_baf772440cc17f06,candidate,"From m/z 343, losses of CO2 (44 Da) produce ions at m/z 299, 297, 255, 253."
loss_6e13c3997cbcff,betalain,,C3H5N,55,positive,,,claim_58b2e76f0a88ddfe,candidate,15-decarboxy-betanin shows neutral loss of C3H5N (55 Da) from m/z 255.
loss_c33e06dea585d7,betalain,,methylated pyridine,93,positive,,,claim_faa2eb94643c5c55,candidate,15-decarboxy-betanin shows neutral loss of methylated pyridine (93 Da) from m/z 255.
loss_b4adce6c876768,betalain,,4-vinylpyridine,105,positive,,,claim_646be902f86cd73c,candidate,15-decarboxy-betanin shows neutral loss of 4-vinylpyridine (105 Da) from m/z 255.
loss_5234b3c7330073,betalain,,water,18,positive,water loss,,claim_5679d8e8b49abedb;claim_e7432bf03e012ac6,candidate,15-decarboxy-betanin shows neutral loss of water (18 Da) from m/z 150.
loss_227d044fa6c6c8,betalain,,loss of glucosyl,162,,,,claim_4df3dbe637efe11a;claim_09dcb8f397204ce3;claim_95827b57d8964c5b,candidate,"Neutral loss of glucosyl (162 Da) from 18-chloro-2,17-bidecarboxy-betanin 6a."
loss_526dff68b856b2,betalain,,loss of HCl,36,,,,claim_6c7ccb95d024c731;claim_23ebca3f7766747b;claim_47b5a6d5b4298fcf;claim_b19448977b0aa819;claim_4f6789f10b13c023,candidate,"Neutral loss of HCl (36 Da) from the ion at m/z 335 of 18-chloro-2,17-bidecarboxy-betanin 6a."
loss_f2454c19d89128,betalain,,loss of HCOOH,46,,,,claim_069c8ba06a385825;claim_11c37bb760c7eb89;claim_4d5b64d7ecf912ec,candidate,"Neutral loss of HCOOH (46 Da) from the ion at m/z 335 of 18-chloro-2,17-bidecarboxy-betanin 6a."
loss_e039efc7f2df46,betalain,,loss of CO2,44,,CO2 loss,,claim_0af9b3e14f31b178,candidate,"Neutral loss of CO2 (44 Da) from the ion at m/z 299 of 18-chloro-2,17-bidecarboxy-betanin 6a."
loss_227d044fa6c6c8,betalain,,loss of glucosyl (162 Da),162,,A neutral loss of 162 Da corresponds to the loss of a glucosyl group from betalains.,concept_evidence,chunk_dfc4abb3cf2518ed25d2;chunk_38e989e8e55fa61c3340;chunk_5a5728f26c8ad302667f;chunk_b0ca5ead43a671ad98aa,candidate,A neutral loss of 162 Da corresponds to the loss of a glucosyl group from betalains.
loss_526dff68b856b2,betalain,,loss of HCl (36 Da),36,,A neutral loss of 36 Da corresponds to the loss of HCl from chlorinated betalains.,concept_evidence,chunk_dfc4abb3cf2518ed25d2;chunk_38e989e8e55fa61c3340,candidate,A neutral loss of 36 Da corresponds to the loss of HCl from chlorinated betalains.
loss_f2454c19d89128,betalain,,loss of HCOOH (46 Da),46,,A neutral loss of 46 Da corresponds to the loss of formic acid (HCOOH) from betalains.,concept_evidence,chunk_dfc4abb3cf2518ed25d2;chunk_38e989e8e55fa61c3340,candidate,A neutral loss of 46 Da corresponds to the loss of formic acid (HCOOH) from betalains.
loss_e039efc7f2df46,betalain,,loss of CO2 (44 Da),44,,A neutral loss of 44 Da corresponds to the loss of CO2 from betalains.,concept_evidence,chunk_dfc4abb3cf2518ed25d2;chunk_38e989e8e55fa61c3340,candidate,A neutral loss of 44 Da corresponds to the loss of CO2 from betalains.
loss_a5c409193f6392,betalain,,loss of pentoside or glutaric acid (134 Da),134,,A neutral loss of 134 Da corresponds to a pentoside or glutaric acid moiety.,concept_evidence,chunk_b0ca5ead43a671ad98aa,candidate,A neutral loss of 134 Da corresponds to a pentoside or glutaric acid moiety.
