rule_id,compound_class,subclass,source_entity,target_entity,source_entity_id,target_entity_id,transformation_name,evidence_type,claim_source,component_name,component_delta_formula,relation_evidence_status,template_support_level,candidate_policy,propagation_policy,reaction_arity,reactant_entities,product_entities,anchor_reactant_index,network_anchor_role,resolved_network_anchor_count,anchor_resolution_stage,reaction_type,reaction_operator,formula_equation,reactant_form_ids,product_form_ids,fragment_evidence_contract,calculated_delta_mass,chemical_validation_status,product_resolution_status,derivation_id,delta_mass,direction,repeatable,max_repeat,required_context,evidence_ids,review_status,review_note
tr_0263937a57487b,betalain,,dopamine,dopamine-derived betalains,entity_85edab3a428facf6,entity_650d2a44905cfe65,biosynthesis,explicit_report,,,,,,,,1,"[{""coefficient"":1,""entity_id"":""entity_85edab3a428facf6"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_650d2a44905cfe65"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,biosynthesis,,"[""form_b4bcd16f5aa26f33""]",[],{},,unresolved_entities,unique_reported_entity,derivation_8979994706b63c,,source_to_target,FALSE,1,real resolved network anchor,claim_fb756838ac16d9ca,candidate,Dopamine is transformed into dopamine-derived betalains.
tr_ca0f9db45e9cc4,betalain,,L-dihydroxyphenylalanine (L-DOPA),traditional betalains,entity_6d36754318f4b6,entity_224463154dcc87f6,biosynthesis,explicit_report,,,,,,,,1,"[{""coefficient"":1,""entity_id"":""entity_6d36754318f4b6"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_224463154dcc87f6"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,biosynthesis,,[],[],{},,unresolved_entities,unique_reported_entity,derivation_40e4931a50a84e,,source_to_target,FALSE,1,real resolved network anchor,claim_247687f3001aa546,candidate,L-DOPA is transformed into traditional betalains.
tr_5a3ab64ab2b0ec,betalain,,betanidin,betanin,entity_dc93e29b3650969f,entity_12822fcd1f86c3ce,glucosylation,explicit_report,,,,,,,,1,"[{""coefficient"":1,""entity_id"":""entity_dc93e29b3650969f"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_12822fcd1f86c3ce"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,glucosylation,C18H16N2O8 -> C24H26N2O13,"[""form_e11c1757de4513f1""]","[""form_3f1cc1b9b810f94c""]",{},162.052823,valid,unique_reported_entity,derivation_6f05abbbba7f0a,162.052823,source_to_target,FALSE,1,real resolved network anchor,claim_13e5c1fffd3a8a56,candidate,"Betanin is the 5-glucoside of betanidin, indicating a glucosylation transformation from betanidin to betanin."
tr_6e2e889e2796f5,betalain,,betalains,acylated betalains,,,acylation,explicit_report,,,,,,,,1,"[{""coefficient"":1,""entity_id"":"""",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":"""",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,acylation,,[],[],{},,unresolved_entities,unresolved_product_class,derivation_a12a33a7e16ab7,,source_to_target,FALSE,1,non_propagating_unresolved_entity,claim_cb2a7fa44a2e93f8,candidate,Sugar moieties of betalains can be acylated with aromatic organic acids.
tr_0bc345033aea09,betalain,,betanidin,betanidin 5,entity_dc93e29b3650969f,entity_4edae395b4203c5a,chlorination,explicit_report,,,,,,,,1,"[{""coefficient"":1,""entity_id"":""entity_dc93e29b3650969f"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_4edae395b4203c5a"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,chlorination,,"[""form_e11c1757de4513f1""]",[],{},,unresolved_entities,unique_reported_entity,derivation_b82116f66da76c,,source_to_target,FALSE,1,real resolved network anchor,claim_ae0c95f37857f1c5,candidate,"Betanidin 5 is described as a chlorination product, indicating a chlorination transformation."
tr_82ae8106fd0385,betalain,,betanin 1,monochloro-betanin 1a,entity_d8c48cad1e6cb780,entity_2161f2c12be6c7e3,chlorination,explicit_report,,,,,,,,1,"[{""coefficient"":1,""entity_id"":""entity_d8c48cad1e6cb780"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_2161f2c12be6c7e3"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,chlorination,,[],[],{},,unresolved_entities,unique_reported_entity,derivation_46d0a503930b11,,source_to_target,FALSE,1,real resolved network anchor,claim_6676f2857eec755f,candidate,"Compounds 1a, 2a, and 6a are chlorinated derivatives of their respective precursors 1, 2, and 6."
tr_41dcff9c07deb4,betalain,,17-decarboxy-betanin 2,monochloro-17-decarboxy-betanin 2a,entity_efe80b36aa4941eb,entity_f5f280c1f41c4d25,chlorination,explicit_report,,,,,,,,1,"[{""coefficient"":1,""entity_id"":""entity_efe80b36aa4941eb"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_f5f280c1f41c4d25"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,chlorination,,[],[],{},,unresolved_entities,unique_reported_entity,derivation_5ffac2ed4cf3ea,,source_to_target,FALSE,1,real resolved network anchor,claim_55ae3addec1fcd15,candidate,Compound 2a is a chlorinated derivative of 17-decarboxy-betanin 2.
tr_a06335fb017149,betalain,,"2,17-decarboxy-betanin 6","monochloro-2,17-decarboxy-betanin 6a",entity_708bce734f296636,entity_84a5f7337f99863b,chlorination,explicit_report,,,,,,,,1,"[{""coefficient"":1,""entity_id"":""entity_708bce734f296636"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_84a5f7337f99863b"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,chlorination,,[],[],{},,unresolved_entities,unique_reported_entity,derivation_a7d8b410582e1e,,source_to_target,FALSE,1,real resolved network anchor,claim_82243889ecbfcde3,candidate,"Compound 6a is a chlorinated derivative of 2,17-decarboxy-betanin 6."
tr_5cd84a773c0e8c,betalain,,betanin 1,17-decarboxy-betanin 2,entity_d8c48cad1e6cb780,entity_efe80b36aa4941eb,decarboxylation,explicit_report,,,,,,,,1,"[{""coefficient"":1,""entity_id"":""entity_d8c48cad1e6cb780"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_efe80b36aa4941eb"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,decarboxylation,,[],[],{},,unresolved_entities,unique_reported_entity,derivation_be703d5d531ea6,,source_to_target,FALSE,1,real resolved network anchor,claim_a88e1c5fc615e325,candidate,"The window describes decarboxylation at C-17 in the precursor 2, indicating a decarboxylation transformation."
tr_c1121c5ed3178c,betalain,,betanin,2-O-Glucosyl-betanin,entity_12822fcd1f86c3ce,entity_8d69a655ba3c9a7e,glucosylation,literature_inferred,,,,,,,,1,"[{""coefficient"":1,""entity_id"":""entity_12822fcd1f86c3ce"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_8d69a655ba3c9a7e"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,glucosylation,,"[""form_3f1cc1b9b810f94c""]",[],{},,unresolved_entities,unique_reported_entity,derivation_507afa9dfa2b62,,source_to_target,FALSE,1,real resolved network anchor,claim_fb2f2e4aa66260ff,candidate,"2-O-Glucosyl-betanin is a glucosylated derivative of betanin, indicating a glucosylation transformation."
