rule_id,entity_id,form_id,entity_class_id,entity_scope,compound_class,component_type,component_name,formula,exact_mass,role,reaction_logic,delta_mass_to_product,decarboxy_delta_mass,evidence_ids,review_status,review_note
bio_508fc0cdb94eb2,entity_81bc257b790aca,,,specific_entity,ginsenoside,structural_component,aglycone 455,,,structural_component,OA-O-glc-glc contains an aglycone with m/z 455.,,,claim_9,candidate,OA-O-glc-glc contains an aglycone with m/z 455.
bio_58d5cc46a44596,entity_af3b55a3071aa2,,,specific_entity,ginsenoside,structural_component,O-162-162,,,structural_component,OA-O-glc-glc contains a sugar chain O-162-162.,,,claim_10,candidate,OA-O-glc-glc contains a sugar chain O-162-162.
bio_e20a6915de1fe9,entity_2b8f0dcd1c7abe,,,specific_entity,ginsenoside,structural_component,aglycone 491,,,structural_component,Majonoside R2 contains an aglycone with m/z 491.,,,claim_11,candidate,Majonoside R2 contains an aglycone with m/z 491.
bio_d0aca5feb84670,entity_41ee83a3c30d70,,,specific_entity,ginsenoside,structural_component,O-162-132,,,structural_component,Majonoside R2 contains a sugar chain O-162-132.,,,claim_12,candidate,Majonoside R2 contains a sugar chain O-162-132.
bio_5c99e6f16de7a8,entity_8a8ae3b067dc6e,,,specific_entity,ginsenoside,structural_component,O-162-146,,,structural_component,Pseudoginsenoside F11 isomer III contains a sugar chain O-162-146.,,,claim_16,candidate,Pseudoginsenoside F11 isomer III contains a sugar chain O-162-146.
bio_350d37fb791d5e,entity_3c9d2fb32ddf71,,,specific_entity,ginsenoside,entity_component_membership,Glc,,,reported_component,Malonyl-Rb2 contains or is formed with Glc,,,claim57;claim59;claim61;claim_component_membership_017c1213f6d29c65;claim_component_membership_5dbd9eb5ebe54ed8;claim_component_membership_2a834bde7b3c43cd;claim_component_membership_8d2ffa53828af6d1;claim_component_membership_dfb04063fda68162;claim_component_membership_df42d7b9255af83d;claim_component_membership_523a9718ebb6942a;claim_component_membership_adb6e7854488016a;claim_component_membership_579f9ef1566778f3;claim_component_membership_9f1b985a0bcee076;claim_component_membership_9c6c0ba3a479bb85;claim_component_membership_0dcb4db7322630d8;claim_component_membership_e7695dd9d474fdfc;claim_component_membership_5cfb2aa95b609e5d;claim_component_membership_df85afaff954e43b;claim_component_membership_cfa6681a9bb23043;claim_component_membership_5c6d25249f4ad9b2;claim_component_membership_0b5ddc0b23d6d960;claim_component_membership_c7ed6a4a90c37dda;claim_component_membership_6c69d7b053a790d8;claim_component_membership_bb7fa82e91e254c8;claim_component_membership_17ffdc8c530f5f91;claim_component_membership_dc346b726e58d49b;claim_component_membership_3abaaedfb2adbbd3;claim_component_membership_9c8bed01f65c1e98;claim_component_membership_0e4ef7a4daf08d42;claim_component_membership_9850a96c20aa0676;claim_component_membership_11d72171cca0b31b;claim_component_membership_4bf0dbf49f743f66;claim_component_membership_8526686843e5dd7b;claim_component_membership_c11069ab8f0fb194;claim_component_membership_67b0232b1a30a77b;claim_component_membership_1679a77f52b1e9a4;claim_component_membership_4953d2f561beecdb;claim_component_membership_97200f215490c037;claim_component_membership_5d5e776b0fd9b311;claim_component_membership_1d4f01e1da12fbac;claim_component_membership_5b5eaf565b0d8fa3;claim_component_membership_680a017e1b0a7f2b;claim_component_membership_6777b67286203ed5;claim_component_membership_f514fd7f4125968e;claim_component_membership_22eb755923b45899;claim_component_membership_0e5a2dac8cd542bf;claim_component_membership_ba46d2d658877d2b;claim_component_membership_665ef0db33073b67;claim_component_membership_12af883761631142;claim_component_membership_a73956517eb521e9;claim_component_membership_57968cae29577499;claim_component_membership_1cd770e4032b043d;claim_component_membership_6d2d1a1a9b964cd7;claim_component_membership_287166ea81e0aec2;claim_component_membership_564df745981aefca;claim_component_membership_64d4325d6684d3ff;claim_component_membership_e232b56462a18434;claim_component_membership_a0aead812b08c552;claim_component_membership_b8e95c239342debe;claim_component_membership_76a86251a46a5f1d;claim_component_membership_06904eee443331d2;claim_component_membership_0b8b0b41b4bc3af8;claim_component_membership_ca7bd72170833eb1;claim_component_membership_87463414c70b0144;claim_component_membership_adb87ae4873399f0;claim_component_membership_3177d96bbb714ea1;claim_component_membership_297056b7a840748b;claim_component_membership_6fedff96efbd46d5;claim_component_membership_649409436da496c7;claim_component_membership_e7f4ab0fcef52612;claim_component_membership_9e430172fe733488;claim_component_membership_a88e9dfc8b5ac26d;claim_component_membership_b8980be06aec133b;claim_component_membership_1601f3cfd4ac8d85;claim_component_membership_99c37061af2dee54;claim_component_membership_3e59d211cf8bfd92;claim_component_membership_1d82f878f5810222;claim_component_membership_e7428f185c990ce9;claim_component_membership_801f84b8a6372a3b;claim_component_membership_272b98a8c06a4763;claim_component_membership_be4b332c54687d46;claim_component_membership_c90a54721c59dea7;claim_component_membership_b9d6c0fbcf2eda70;claim_component_membership_bce41230c3f4c249;claim_component_membership_1505d73d39e38adb;claim_component_membership_c2a1c3256833e8c5;claim_component_membership_cd9c8d19b36048ef;claim_component_membership_a0dd921c7c0d32e9;claim_component_membership_2cece56e2a0a88fa;claim_component_membership_f2382b99e2919903;claim_component_membership_198e2ba9d7e15250;claim_component_membership_411a99e5c8ed64ff;claim_component_membership_65c1bcb02135b009;claim_component_membership_c99202f402d23e75;claim_component_membership_1ed78955191fa16d;claim_component_membership_a0b7b0353a209375;claim_component_membership_0fca06bc1550425f;claim_component_membership_762a5b1b9c2267f3;claim_component_membership_7ed7f4728005e7e8;claim_component_membership_87a9c4bf603f6c8c;claim_component_membership_4ad92072891c06a7;claim_component_membership_684673e19536203d;claim_component_membership_37589bff050874f8;claim_component_membership_e33662f6d22d46d8;claim_component_membership_210d4959be030e4b;claim_component_membership_3c1b266d9cb2e900;claim_component_membership_5cd49930091bcce9;claim_component_membership_ea02f6a1afee4212;claim_component_membership_b80da448a722caf1;claim_component_membership_5c8e16ab2c285700;claim_component_membership_a9903636f30d5133;claim_component_membership_743d395e21f48ae1;claim_component_membership_1d3547f908f56c0a;claim_component_membership_040c8680b16bc494;claim_component_membership_bcf757557f70815e;claim_component_membership_335c80416cf3dbdf;claim_component_membership_0a66fb6b9bfd86b0;claim_component_membership_17521f296f84854a;claim_component_membership_97b22a77fc260e90;claim_component_membership_be7bfd9a97c82dcc;claim_component_membership_56812ddfaa79128d;claim_component_membership_ab036fc9a8592318;claim_component_membership_7cff228b21204cec;claim_component_membership_3857f6dea1b55114;claim_component_membership_f7350b1c8b26e335;claim_component_membership_66a61b06fed2cd05;claim_component_membership_d1445a1db2834c70;claim_component_membership_cc129ba9d0468026;claim_component_membership_81674f0a38ed9633;claim_component_membership_695f99c1d64f2408;claim_component_membership_4fdf74acf7de49bb;claim_component_membership_fb212bc9febce3bb;claim_component_membership_6007631f44ecadd7;claim_component_membership_4490a2b80386210f;claim_component_membership_dd5f86dd072e0502;claim_component_membership_250a92929a056704;claim_component_membership_bbd5fa87ffa44d49;claim_component_membership_6437e7a0d9431a2f;claim_component_membership_57bbf8726b13df07;claim_component_membership_c412ad08ea300c24;claim_component_membership_2449d725d7967f1d;claim_component_membership_586b251e587b3a0d;claim_component_membership_df9044f6bb6eabeb;claim_component_membership_ec94c1d3b5a70349;claim_component_membership_5d912f33cd8f6a4f;claim_component_membership_2bd4150397b24f03;claim_component_membership_ec841920e2b848d5;claim_component_membership_bc39227d20b24514;claim_component_membership_cc5554533fe4dacb;claim_component_membership_9ca4b3c15590734f;claim_component_membership_fdaf459e7e720f35;claim_component_membership_fdf60cb34872fc45;claim_component_membership_1fa3bc9da1708061;claim_component_membership_f17da65aa994c8df;claim_component_membership_3424eb70f769170f;claim_component_membership_81878570118eec75;claim_component_membership_2ab9877ad4d3e548;claim_component_membership_d91068495164da43;claim_component_membership_280d235e6fe86d9b;claim_component_membership_be1644f9c5e61eda;claim_component_membership_0fba34d84dbc3b8c;claim_component_membership_96fe987d70eff9f3;claim_component_membership_a050c1c7e09e03ad;claim_component_membership_f988ecf47bf493e3;claim_component_membership_3ddcb1547beee85e;claim_component_membership_1054e53bd964be85;claim_component_membership_fa914fab5c24f132;claim_component_membership_55ffaee2e437052f;claim_component_membership_538c25fd4aebe67a;claim_component_membership_e5127034c125a194;claim_component_membership_3c57a416c923fc25;claim_component_membership_f4d977f5bc44de2f;claim_component_membership_8709e9a8a873529c;claim_component_membership_1f758d96f6ade0b0;claim_component_membership_7471f62d574ab3f4;claim_component_membership_9ca8e7fa5fb1861d;claim_component_membership_2f31ad858ba48045;claim_component_membership_c72de81f30d5e250;claim_component_membership_72f7b6855046063e;claim_component_membership_e78ff88e0258a25f;claim_component_membership_50d2131e92ad6c4b;claim_component_membership_eea51d2929764123;claim_component_membership_9e0cf823b8c69dd4;claim_component_membership_0f2223a76df6185e;claim_component_membership_d1594ad54e4748b6;claim_component_membership_5ae77029e3ee2b63;claim_component_membership_676f4f99f62df950;claim_component_membership_ad20ef75b002d5ec;claim_component_membership_2769463f947f09fb;claim_component_membership_89a5b7d19cef8825;claim_component_membership_f019a9266876a396;claim_component_membership_da825eebfc7986bb;claim_component_membership_94149de43c2a0d51;claim_component_membership_c18f76c1764636f2;claim_component_membership_874a4371e4bac2a4;claim_component_membership_e87b2ecc5cd4ce3c;claim_component_membership_48caa8b0d53c1313;claim_component_membership_6eaf6fadf1a538ea;claim_component_membership_d0273a68f7c19574;claim_component_membership_87ac25a40059c0a3;claim_component_membership_fe4dcae05f2f599f;claim_component_membership_b12cc60957e7b715;claim_component_membership_5cebb7a9d83b49e1;claim_component_membership_11f0acb624cd3ac4;claim_component_membership_b11bf09917461937;claim_component_membership_d76b554707c0fe30;claim_component_membership_5bc8d760e5f498a8;claim_component_membership_4feabd6fecae3ccf;claim_component_membership_e5ea709fa0930278;claim_component_membership_14c03d6fa1366a85;claim_component_membership_1a7635e38c3d2867;claim_component_membership_a0b80546de85227e;claim_component_membership_0052b8c562f46591;claim_component_membership_a4c1a892b72c79a2;claim_component_membership_b0f42c07bf0e72fa;claim_component_membership_fc285828a2bed7eb;claim_component_membership_4d98d993004737d5;claim_component_membership_6de63bc5a796d754;claim_component_membership_507829da15841a6b;claim_component_membership_7432b8637398a429;claim_component_membership_74d85264495a7921;claim_component_membership_faba8af936a96b29;claim_component_membership_bab67ad09a0117a7;claim_component_membership_0dfce71bdecd480c;claim_component_membership_212598d8a4728100;claim_component_membership_4d0f72b8271f76ad;claim_component_membership_58c69f33eeff9875;claim_component_membership_e7f3978f63337fa0;claim_component_membership_88d99f84f462f646;claim_component_membership_20461867dbe95b11;claim_component_membership_c1b7d8098a2c6759;claim_component_membership_d0a1b48dc05caf3f;claim_component_membership_8a386d1800e3e58d;claim_component_membership_978d9f3f93029588;claim_component_membership_b83e088cba34b28f;claim_component_membership_e89b6ff50b4c1a80;claim_component_membership_9fe3e3d5d9342222;claim_component_membership_2450531cb9fbb976;claim_component_membership_0f09736a8a59caf2;claim_component_membership_9f3fed3066670153;claim_component_membership_7ae50568d2ad3fc5;claim_component_membership_f3cba7eac05b41fd;claim_component_membership_c238d5071ba3d4f7;claim_component_membership_eda8b0d225af4816;claim_component_membership_b14963f119ec3d86;claim_component_membership_a8c325076b4e9941;claim_component_membership_77a53638dd6a4406;claim_component_membership_ca7a815f04b8e8c9;claim_component_membership_9362b392df80ab4a;claim_component_membership_bb05c9a3846086ab;claim_component_membership_f331494485d24a65;claim_component_membership_0b5ac45743044fe9;claim_component_membership_bb2d33a3ee1fafc3;claim_component_membership_1c5c0e3dace0d36e;claim_component_membership_bf39cec55e645e99;claim_component_membership_a45bf8d8ce9244c7;claim_component_membership_d3dfc9ff23da18a4;claim_component_membership_1fbb479632726395;claim_component_membership_e37d8e391e7adaa6;claim_component_membership_dfdb8e048f8483ca;claim_component_membership_2f75e126b73ee4b4;claim_component_membership_dc1b122fa6f06c3d;claim_component_membership_d3da6f4753239d42;claim_component_membership_fdcabda3dab89180;claim_component_membership_87ce68ab33ae005d;claim_component_membership_8946caa2e7ef6c82;claim_component_membership_4d68d441bb7e6bda;claim_component_membership_fea9f177ca9ea15b;claim_component_membership_4186cd77e0e1a0c3;claim_component_membership_37fab5d4190d7c4c;claim_component_membership_9fb71e959d190780;claim_component_membership_781d8e0eaa61508a;claim_component_membership_520566d313d48171;claim_component_membership_d1305f9b214d7df9;claim_component_membership_f6c0e7a4e7bd1480;claim_component_membership_b8a4238373dcaa27;claim_component_membership_0513e11e873b5f05;claim_component_membership_b6cb8b2879b9049b;claim_component_membership_cd79eba37bf1d7a2;claim_component_membership_d8d2f8a5e249957a;claim_component_membership_3dc0169bf1db198b;claim_component_membership_c5141b380c8bc337;claim_component_membership_374b46faca60646b;claim_component_membership_dd3c59fa0a8e18d4;claim_component_membership_6c9d82f2048bb659;claim_component_membership_cfc2753244cc134d;claim_component_membership_838f4acc81a64de6;claim_component_membership_2283638f5aa29b00;claim_component_membership_db43576372b08399;claim_component_membership_0c1173b71b48a5b8;claim_component_membership_641ba2d90f7c677e;claim_component_membership_fe5f17167a14992e;claim_component_membership_ba7ac051ea7c9a8a;claim_component_membership_c496887e14ea798c;claim_component_membership_388a5d8ccf3a77bc;claim_component_membership_22935586a6d798c0;claim_component_membership_176a53a2a695c775;claim_component_membership_e56548f14b93112a;claim_component_membership_19098b81b04f8908;claim_component_membership_5e21e41ddb6c71fd;claim_component_membership_1fe935ab968d4b25;claim_component_membership_02a61d25137afa8f;claim_component_membership_dfdec27679510cfc;claim_component_membership_16cafab372a7d615;claim_component_membership_66c14c59a9598150;claim_component_membership_025547160c7640db;claim_component_membership_87c57a2e6732152d;claim_component_membership_504573612ba7b416;claim_component_membership_76e54f0fd33a4a0e;claim_component_membership_e1378b0fd764e1d3;claim_component_membership_267e8633b4026e01;claim_component_membership_a3f76e8b5248cdd8;claim_component_membership_9d43c73e69ce4948;claim_component_membership_b0303bae85fb3664;claim_component_membership_0d700b3313f16bab;claim_component_membership_476bfa7f9d31865b;claim_component_membership_0533831dfe8c1af7;claim_component_membership_026a6d7399f8f3ee;claim_component_membership_0920e6500fe3ff87;claim_component_membership_464b7e400bf9c07e;claim_component_membership_272d4a343c3d083e;claim_component_membership_8849ce08e1c3620b;claim_component_membership_e73cf5109524d238;claim_component_membership_2d616619917ce67d;claim_component_membership_ef82e6505222e457;claim_component_membership_318f888e017b1497;claim_component_membership_b9a943e6cce7e8de;claim_component_membership_d0eaecd06aa2c8ed;claim_component_membership_05bd86a1ee8d0c68;claim_component_membership_faed2ebc5bd5f2ab;claim_component_membership_25cad81b3eff292e;claim_component_membership_5079b43297eecbd8;claim_component_membership_629436226e6bd750;claim_component_membership_3927f3dfb043ecd3;claim_component_membership_d9d14c01227ac6a4;claim_component_membership_4be8f126aa947f5f;claim_component_membership_3ab597050854d6e3;claim_component_membership_6fe06f020827ca37;claim_component_membership_d33cb1a2849ec054;claim_component_membership_901a14b987ec7054;claim_component_membership_1629174baf7f9416;claim_component_membership_c5ec0513434955b6;claim_component_membership_df6c9c009264adac;claim_component_membership_dbfb6eee4f7db13a;claim_component_membership_958bbfd86b08cb75;claim_component_membership_ea0ed36c69c8b693;claim_component_membership_cb54e5f3924f0d43;claim_component_membership_ca0e621f4802d871;claim_component_membership_341113279a119f23;claim_component_membership_ad401b82900e2ed2;claim_component_membership_1928e04c99cfc875;claim_component_membership_14e5146c863c28e8;claim_component_membership_1d25daad22802976;claim_component_membership_461cab027484481f;claim_component_membership_d4677532a43567a7;claim_component_membership_c4c3b5687a136e52;claim_component_membership_4a27b9d28ef851e3;claim_component_membership_d6595f378f3f928c;claim_component_membership_ead0692405739e6f;claim_component_membership_496f0121287f981f;claim_component_membership_57dd9de780392f7c;claim_component_membership_b650369f8e49365e;claim_component_membership_325f371312a9d582;claim_component_membership_c78290a7ad9a5c60;claim_component_membership_3c23a2bcca737896;claim_component_membership_1061c125f5ae0b85;claim_component_membership_cd9f539e65f1262b;claim_component_membership_f4804a0391647bdd;claim_component_membership_4502eab07800d5be;claim_component_membership_7e035c5d84ed0f35;claim_component_membership_68d2bd0dd5628c47;claim_component_membership_5bdd0bd8509e9cce;claim_component_membership_7f40d8b4de79274a;claim_component_membership_40aa6f9ecd2b8472;claim_component_membership_25e80f6ea3cd4766;claim_component_membership_10db028c3d46ab48;claim_component_membership_7040003834c1b729;claim_component_membership_be5b9607009a92ef;claim_component_membership_efcd57a67ea24409;claim_component_membership_333aa0e6a8ae2d79;claim_component_membership_9407eafa0d563555;claim_component_membership_22aa3f1b2428b04a;claim_component_membership_35124a7716fa61fd;claim_component_membership_bebddf1d1201ad0b;claim_component_membership_47ddb122fce4259e;claim_component_membership_86feaac672bb487b;claim_component_membership_e2fa8a678a39e82b;claim_component_membership_c6440dc82e52b1e9;claim_component_membership_a6de73142fba55a4;claim_component_membership_308dba7173f11607;claim_component_membership_fcb56f3cd98b0984;claim_component_membership_360071d3fd65c03a;claim_component_membership_fbafe21ebe527cad;claim_component_membership_2f49759e5c006bd6;claim_component_membership_1329db2177c5618c;claim_component_membership_2a05f8b4f4d4de96;claim_component_membership_f98b1bbb79a2f5cd;claim_component_membership_960edb4f18631ec4;claim_component_membership_76361ef746da5bc6;claim_component_membership_46dd598a57a3697f;claim_component_membership_5108b356dd8df3ee;claim_component_membership_72cbe2e5f8316e93;claim_component_membership_641e7d71da6b1c5f;claim_component_membership_01e69997fcd41c44;claim_component_membership_42f322727c57c396;claim_component_membership_104ffa336dd32ebf;claim_component_membership_cdc283db5e9b2e6f;claim_component_membership_55999d5d7eb7e5d2;claim_component_membership_581cfa079871d665;claim_component_membership_1a639cce6a3920ab;claim_component_membership_0f5880f63b30c342;claim_component_membership_161c56ee1cf5005f;claim_component_membership_d15ce80409d46ae5;claim_component_membership_99afb432ffdc1715;claim_component_membership_3c939a62e86118de;claim_component_membership_a4af324a8ea3ad08;claim_component_membership_485975ee32aee266;claim_component_membership_38a0143d3a3b9570;claim_component_membership_e51b0b41a7584781;claim_component_membership_8221a8853917a0e0;claim_component_membership_98aad86640c4ec78;claim_component_membership_5ede87361b9cd860;claim_component_membership_0a4786de4e7ef8fb;claim_component_membership_2340ae4d827705d7;claim_component_membership_98f3dd879c75f489;claim_component_membership_1ead9c38f7e8f967;claim_component_membership_35465410f1359952;claim_component_membership_f354e1124c7ebd77;claim_component_membership_db055f7ba390f774;claim_component_membership_645d007565675e61;claim_component_membership_f798305ae4eff1ba;claim_component_membership_00532e95c44c6c24;claim_component_membership_62fc28c9cffcb9da;claim_component_membership_082999ce1a08f703;claim_component_membership_5c4e2ab395bf3d7e;claim_component_membership_288b7c8be1621f21;claim_component_membership_1e0209f2b824bcd8;claim_component_membership_622d0c9a480d836d;claim_component_membership_086a611a3224d641;claim_component_membership_d44e32337334091e;claim_component_membership_ddcb138cee65e55c;claim_component_membership_b81068ca8b1413fc;claim_component_membership_3cc77a7b135cf4fe;claim_component_membership_eb42d7cc444458cc;claim_component_membership_9953eedef2266ee0;claim_component_membership_1353915468ee951e;claim_component_membership_632ce5a97aa18992;claim_component_membership_8b983a353b4cc032;claim_component_membership_35bd37e8735c993e;claim_component_membership_85c775c7530a7cb2;claim_component_membership_653936b193cb2334;claim_component_membership_8d8b1c51a7218fef;claim_component_membership_60dd154273a191c7;claim_component_membership_e0373ac4e50aff56;claim_component_membership_78a0a5b792b3cda0;claim_component_membership_779baa9a3a18b4d4;claim_component_membership_36d5076d1754dd4b;claim_component_membership_28c62db154987148;claim_component_membership_8afa5e18083d488b;claim_component_membership_4702e529a1c4f3c1;claim_component_membership_5df9e410e7216abd;claim_component_membership_960cb325ef596163;claim_component_membership_aa411475bcefb3c5;claim_component_membership_e8357e0a843d84fd;claim_component_membership_0967ee27fc025625;claim_component_membership_674c7cc86f3cb839;claim_component_membership_43fa503959530263;claim_component_membership_a04e5f00caf70205;claim_component_membership_b8e2cbf6bb831f51;claim_component_membership_e2fa8356a4aa7a6a;claim_component_membership_f36842d903692fb7;claim_component_membership_d4fa96fb75db0c78;claim_component_membership_81b94b0c3ad3a28f;claim_component_membership_7c5aa5a9d07131b5;claim_component_membership_58ac7cad97c4681c;claim_component_membership_e373e219bbfa6486;claim_component_membership_0e7e5bed6ffa7af2;claim_component_membership_879f74daf1355aac;claim_component_membership_00f70894f36889e6;claim_component_membership_503996ba6e3eefeb;claim_component_membership_65042ea3b94ab7dd;claim_component_membership_a0a28ad4229817c7;claim_component_membership_95eeeee164e1793a;claim_component_membership_3dd1ba9a07b0c6f1;claim_component_membership_31459aa9fabfaa4a;claim_component_membership_c6008687badcedf4;claim_component_membership_a4c6fd61049ab769;claim_component_membership_d2a1d669466eb40e;claim_component_membership_ca4bb040a29caecb;claim_component_membership_6918055420503a84;claim_component_membership_0f89f9bc39e945ce;claim_component_membership_ceae31a91383dfcd;claim_component_membership_348c533763a6e9bf;claim_component_membership_54fec63a0039faf9;claim_component_membership_5d082068f61e29e9;claim_component_membership_38c50d3a9066d6a7;claim_component_membership_6c3d614fc6721d5f;claim_component_membership_74b7be88fe4ed14f;claim_component_membership_4a4e0f83a79a0a1a;claim_component_membership_51d9aa8bdf21823f;claim_component_membership_a1ad03b84c229b17;claim_component_membership_3cc0f8e1d6989724;claim_component_membership_4dba2e5fb8ebfd94;claim_component_membership_864f4a10e48c438e;claim_component_membership_f1c70b986dadc5e6;claim_component_membership_c3eb71b1ca3e5240;claim_component_membership_e419df4ab0e2198e,candidate,Glc is a sugar component of Malonyl-Rb2.
bio_cbd32e51677ec4,entity_3ce1828318eb54,,,specific_entity,ginsenoside,entity_component_membership,arap,,,reported_component,Malonyl-Rb2 contains or is formed with arap,,,claim58,candidate,arap is a sugar component of Malonyl-Rb2.
bio_156e311be18da0,entity_8cc7769a6002ec,,,specific_entity,ginsenoside,entity_component_membership,xylp,,,reported_component,Malonyl-Rb3 contains or is formed with xylp,,,claim60,candidate,xylp is a sugar component of Malonyl-Rb3.
bio_532d3c6dd5ea67,entity_50938c96219101,,,specific_entity,ginsenoside,entity_component_membership,araf,,,reported_component,Malonyl-Rc contains or is formed with araf,,,claim62,candidate,araf is a sugar component of Malonyl-Rc.
bio_3aa993c1c1bd20,entity_d6c83f1e4b451d,,,specific_entity,ginsenoside,entity_component_membership,Ara(p),,,reported_component,G-Ra1 contains or is formed with Ara(p),,,claim_component_membership_cadc26509ef015a2;claim_component_membership_afe9903a827b6269;claim_component_membership_71c9731f6f0eb8fa,candidate,Entity-component membership preserved from a local structured record.
