rule_id,compound_class,subclass,source_entity,target_entity,source_entity_id,target_entity_id,transformation_name,evidence_type,template_support_level,candidate_policy,propagation_policy,reaction_arity,reactant_entities,product_entities,anchor_reactant_index,network_anchor_role,resolved_network_anchor_count,anchor_resolution_stage,reaction_type,reaction_operator,formula_equation,reactant_form_ids,product_form_ids,fragment_evidence_contract,calculated_delta_mass,chemical_validation_status,product_resolution_status,derivation_id,delta_mass,direction,repeatable,max_repeat,required_context,evidence_ids,review_status,review_note
tr_dab716d7cd6386,ginsenoside,,malonyl-pseudoginsenoside F11,pseudoginsenoside F11,,entity_c9c6dd608f5a9c54,demalonylation,explicit_report,,,,1,"[{""coefficient"":1,""entity_id"":"""",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_c9c6dd608f5a9c54"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,demalonylation,,[],"[""form_f82abbbe38657b9e""]",{},,unresolved_entities,unique_reported_entity,derivation_e9fc567e31e9c7,,source_to_target,FALSE,1,non_propagating_unresolved_entity,claim_7,candidate,Malonyl-pseudoginsenoside F11 undergoes demalonylation to produce pseudoginsenoside F11.
tr_96d2899404513e,ginsenoside,,OT-O-glc-rha/O-xyl/ara,pseudoginsenoside F11,,entity_c9c6dd608f5a9c54,hydrolysis,explicit_report,,,,1,"[{""coefficient"":1,""entity_id"":"""",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_c9c6dd608f5a9c54"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,hydrolysis,,[],"[""form_f82abbbe38657b9e""]",{},,unresolved_entities,unique_reported_entity,derivation_f4230bf4e38cf3,,source_to_target,FALSE,1,non_propagating_unresolved_entity,claim_8,candidate,OT-O-glc-rha/O-xyl/ara undergoes hydrolysis to produce pseudoginsenoside F11.
tr_d302c8cc38fc7e,ginsenoside,,protoginsenoside,rare ginsenoside,,,elimination reaction,explicit_report,,,,1,"[{""coefficient"":1,""entity_id"":"""",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":"""",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,elimination_reaction,,[],[],{},,unresolved_entities,unresolved_product_class,derivation_28ead98aa5016f,,source_to_target,FALSE,1,non_propagating_unresolved_entity,1,candidate,
tr_0e6e190d683007,ginsenoside,,malonyl ginsenoside,acetyl ginsenoside,,entity_3ca93aab320b61d8,degradation,explicit_report,,,,1,"[{""coefficient"":1,""entity_id"":"""",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_3ca93aab320b61d8"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,degradation,,[],"[""form_002ae8ed35de40bb""]",{},,unresolved_entities,unique_reported_entity,derivation_d335857c13939d,,source_to_target,FALSE,1,non_propagating_unresolved_entity,2,candidate,
tr_f591d98378b7ac,ginsenoside,,acetyl ginsenoside,neutral ginsenoside,entity_3ca93aab320b61d8,,degradation,explicit_report,,,,1,"[{""coefficient"":1,""entity_id"":""entity_3ca93aab320b61d8"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":"""",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,degradation,,"[""form_002ae8ed35de40bb""]",[],{},,unresolved_entities,unresolved_product_class,derivation_699762ea00978e,,source_to_target,FALSE,1,non_propagating_unresolved_entity,3,candidate,
tr_25df39f3a2739e,ginsenoside,,20(S)-ginsenoside Rh1,20(R)-ginsenoside Rh1,entity_f3bebe84eb300f6c,entity_fd919c12f5959ccf,configurational inversion,explicit_report,,,,1,"[{""coefficient"":1,""entity_id"":""entity_f3bebe84eb300f6c"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_fd919c12f5959ccf"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,configurational_inversion,C36H62O9 -> C36H62O9,"[""form_5306725e63b08dec""]","[""form_780ef5265de8600e""]",{},0,valid,unique_reported_entity,derivation_f43ba138a072d5,0,source_to_target,FALSE,1,real resolved network anchor,4,candidate,
tr_1d08f602b98515,ginsenoside,,20(S)-ginsenoside Rh2,20(R)-ginsenoside Rh2,entity_aa2ff9878e2a1924,entity_888ec826247b0ffb,configurational inversion,explicit_report,,,,1,"[{""coefficient"":1,""entity_id"":""entity_aa2ff9878e2a1924"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_888ec826247b0ffb"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,configurational_inversion,C36H62O8 -> C36H62O8,"[""form_abb445e65ad03c62""]","[""form_2cc8065e4a1e0288""]",{},0,valid,unique_reported_entity,derivation_22a5e18204e185,0,source_to_target,FALSE,1,real resolved network anchor,5,candidate,
tr_310f2e4810480b,ginsenoside,,20(S)-ginsenoside Rg2,20(R)-ginsenoside Rg2,entity_91b9870bbad63ac4,entity_fdb17b7acae1e560,configurational inversion,explicit_report,,,,1,"[{""coefficient"":1,""entity_id"":""entity_91b9870bbad63ac4"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_fdb17b7acae1e560"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,configurational_inversion,C42H72O13 -> C42H72O13,"[""form_1f6111c155206457""]","[""form_185ead4cc425fda0""]",{},0,valid,unique_reported_entity,derivation_6c6eb1f3cad154,0,source_to_target,FALSE,1,real resolved network anchor,6,candidate,
tr_80011dc9f46e74,ginsenoside,,20(S)-ginsenoside Rh12,20(R)-ginsenoside Rh12,entity_f08632271681edf4,entity_7311e4d6a2bcbab9,configurational inversion,explicit_report,,,,1,"[{""coefficient"":1,""entity_id"":""entity_f08632271681edf4"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_7311e4d6a2bcbab9"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,configurational_inversion,C36H64O10 -> C36H64O10,"[""form_0d5884c809d3cdb6""]","[""form_59bf5e0514271a5f""]",{},0,valid,unique_reported_entity,derivation_b1be2020f48660,0,source_to_target,FALSE,1,real resolved network anchor,7,candidate,
tr_5c4d9f5fc1ced1,ginsenoside,,protopanaxadiol,PPDV1/V2 aglycone,,,dehydration,explicit_report,,,,1,"[{""coefficient"":1,""entity_id"":"""",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":"""",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,dehydration,,[],[],{},,unresolved_entities,unresolved_product_class,derivation_0de5e2dff65515,,source_to_target,FALSE,1,non_propagating_unresolved_entity,8,candidate,
tr_cdd348d7299d13,ginsenoside,,G-Rb1,G-Rd,entity_8a8de1145f59f199,entity_3c1dfb232de48c72,loss of reported glc component,literature_inferred,,,,1,"[{""coefficient"":1,""entity_id"":""entity_8a8de1145f59f199"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_3c1dfb232de48c72"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,loss_of_reported_glc_component,C54H92O23 -> C48H82O18,"[""form_f255d9982516474c""]","[""form_67c0aea2428db18b""]",{},-162.052823,valid,unique_reported_entity,derivation_99f29bf32893c7,-162.052823,source_to_target,FALSE,1,real resolved network anchor,chunk_adad5f853e121b5f435a;chunk_784ca4f837c7a19c3aad,candidate,Independent loss-mechanism evidence joined to co-reported entity component profiles with an exact formula balance.
tr_a32ab37bd143d1,ginsenoside,,ginsenoside Ra2,G-Rc,entity_d09e71bd59bbe9fe,entity_1f50137473f79c32,loss of reported xyl component,literature_inferred,,,,1,"[{""coefficient"":1,""entity_id"":""entity_d09e71bd59bbe9fe"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_1f50137473f79c32"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,loss_of_reported_xyl_component,C58H98O26 -> C53H90O22,"[""form_f9b6e85a0cb108eb""]","[""form_f7158d1a82dd7d29""]",{},-132.042259,valid,unique_reported_entity,derivation_856de533ea78bf,-132.042259,source_to_target,FALSE,1,real resolved network anchor,chunk_adad5f853e121b5f435a;chunk_784ca4f837c7a19c3aad,candidate,Independent loss-mechanism evidence joined to co-reported entity component profiles with an exact formula balance.
tr_e34bb63270959e,ginsenoside,,Ginsenoside Rb2,Ginsenoside Rd,entity_b3a6760e99a1e624,entity_6cf53cd8e18ecbba,loss of reported ara(p) component,literature_inferred,,,,1,"[{""coefficient"":1,""entity_id"":""entity_b3a6760e99a1e624"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_6cf53cd8e18ecbba"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,loss_of_reported_ara_p_component,C53H90O22 -> C48H82O18,"[""form_eddfee3534aed8e5""]","[""form_301a8c7f3bc70122""]",{},-132.042259,valid,unique_reported_entity,derivation_cffe5738b4d556,-132.042259,source_to_target,FALSE,1,real resolved network anchor,chunk_adad5f853e121b5f435a;chunk_784ca4f837c7a19c3aad,candidate,Independent loss-mechanism evidence joined to co-reported entity component profiles with an exact formula balance.
